loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
16,1.0,0.0,0.0,0.4639175257731959,0.2653061224489796,0.4444444444444445,0.8233333333333335,0.1986301369863014,0.20103092783505155,0.4138817480719794,0.29931972789115646,1
17,0.4,1.0,1.0,0.03092783505154639,0.033163265306122444,0.1111111111111111,0.605,0.04794520547945205,0.005154639175257732,0.025706940874035994,0.04761904761904762,1
18,0.8,0.0,1.0,0.27835051546391754,0.23214285714285712,0.6666666666666665,0.8,0.10273972602739725,0.14432989690721648,0.16452442159383035,0.29251700680272114,1
19,0.4,1.0,0.0,0.2577319587628866,0.25510204081632654,0.4444444444444445,0.7266666666666668,0.03767123287671233,0.0,0.15167095115681237,0.22448979591836737,1
20,1.0,1.0,0.0,0.6288659793814433,0.3647959183673469,0.5555555555555556,0.5866666666666667,0.3561643835616438,0.18041237113402062,0.596401028277635,0.40136054421768713,1
21,0.4,1.0,0.0,0.49484536082474223,0.4872448979591837,0.5555555555555556,0.025000000000000022,0.3287671232876712,0.08247422680412371,0.455012853470437,0.41496598639455784,0
22,0.8,1.0,0.0,0.5773195876288659,0.3494897959183674,0.7777777777777777,0.3833333333333334,0.13356164383561642,0.5824742268041236,0.5629820051413882,0.3673469387755102,0
23,0.8,1.0,1.0,0.6494845360824741,0.6479591836734693,0.8888888888888888,0.018333333333333313,0.452054794520548,0.08762886597938144,0.49357326478149105,0.5782312925170069,0
24,0.0,0.0,1.0,0.03092783505154639,0.028061224489795915,0.0,0.41833333333333345,0.03424657534246575,0.03092783505154639,0.020565552699228794,0.020408163265306124,1
25,0.0,0.0,0.0,0.4845360824742268,0.2423469387755102,0.7777777777777777,0.040000000000000036,0.13356164383561642,0.44845360824742264,0.2493573264781491,0.22448979591836737,0
26,1.0,0.0,0.0,0.29896907216494845,0.2346938775510204,1.0,0.3566666666666667,0.273972602739726,0.15979381443298968,0.16195372750642675,0.17687074829931973,0
27,0.8,1.0,0.0,0.8247422680412371,0.7091836734693877,0.5555555555555556,0.6600000000000001,0.3972602739726028,0.5463917525773195,0.6426735218508998,0.489795918367347,1
28,0.8,0.0,1.0,0.22680412371134018,0.13520408163265304,0.1111111111111111,0.6033333333333335,0.15753424657534248,0.21649484536082475,0.13110539845758357,0.17006802721088438,1
29,1.0,0.0,1.0,0.7010309278350515,0.6045918367346939,0.2222222222222222,0.06000000000000005,0.0821917808219178,0.61340206185567,0.699228791773779,0.6598639455782314,0
30,0.6000000000000001,0.0,1.0,0.9072164948453607,0.7959183673469387,0.4444444444444445,0.9166666666666667,0.75,0.6391752577319587,0.8586118251928021,0.54421768707483,1
31,0.4,0.0,0.0,0.9896907216494845,0.6377551020408162,0.5555555555555556,0.021666666666666723,0.6952054794520548,0.26804123711340205,0.647814910025707,0.6326530612244898,0
32,0.4,1.0,0.0,0.5670103092783505,0.29846938775510207,0.2222222222222222,0.1050000000000001,0.1267123287671233,0.38144329896907214,0.5501285347043703,0.29251700680272114,0
33,0.2,0.0,1.0,0.061855670103092786,0.033163265306122444,0.4444444444444445,0.22666666666666668,0.0273972602739726,0.010309278350515464,0.048843187660668384,0.06802721088435375,0
34,1.0,0.0,1.0,0.845360824742268,0.5535714285714285,0.0,0.8833333333333335,0.13356164383561642,0.20103092783505155,0.5038560411311055,0.3673469387755102,1
35,0.6000000000000001,1.0,0.0,0.4845360824742268,0.29591836734693877,0.3333333333333333,0.52,0.3356164383561644,0.06185567010309278,0.480719794344473,0.39455782312925175,1
36,0.4,1.0,1.0,0.15463917525773194,0.07908163265306123,0.3333333333333333,0.6516666666666668,0.0958904109589041,0.14432989690721648,0.14652956298200515,0.06122448979591837,1
37,0.6000000000000001,0.0,0.0,0.14432989690721648,0.15051020408163263,0.8888888888888888,0.56,0.11986301369863013,0.03608247422680412,0.12853470437017997,0.09523809523809525,1
38,1.0,1.0,1.0,0.8041237113402061,0.6862244897959183,0.2222222222222222,0.08000000000000007,0.2226027397260274,0.015463917525773195,0.42159383033419023,0.4829931972789116,0
39,1.0,1.0,0.0,0.3505154639175258,0.18877551020408162,0.7777777777777777,0.8833333333333335,0.24315068493150682,0.06701030927835051,0.2493573264781491,0.19727891156462588,1
40,0.6000000000000001,0.0,1.0,0.13402061855670103,0.12244897959183675,0.2222222222222222,0.08666666666666667,0.00684931506849315,0.010309278350515464,0.13624678663239076,0.06122448979591837,0
41,0.2,1.0,0.0,0.7835051546391752,0.45408163265306123,0.0,0.6866666666666668,0.2979452054794521,0.5773195876288659,0.5501285347043703,0.6122448979591837,1
42,0.4,0.0,0.0,0.9175257731958762,0.6275510204081632,0.7777777777777777,0.8700000000000001,0.7671232876712328,0.6237113402061856,0.7892030848329049,0.35374149659863946,1
43,0.6000000000000001,1.0,0.0,0.12371134020618556,0.07908163265306123,0.2222222222222222,0.4,0.010273972602739725,0.07731958762886598,0.09254498714652956,0.054421768707483,0
44,0.4,1.0,1.0,0.061855670103092786,0.0510204081632653,0.5555555555555556,0.07000000000000006,0.07876712328767123,0.06701030927835051,0.038560411311053984,0.054421768707483,0
45,1.0,1.0,0.0,0.6494845360824741,0.33418367346938777,0.8888888888888888,0.8116666666666668,0.6267123287671232,0.015463917525773195,0.4087403598971722,0.3673469387755102,1
46,0.8,1.0,0.0,0.8041237113402061,0.7015306122448979,0.7777777777777777,0.05166666666666675,0.4486301369863014,0.3247422680412371,0.5424164524421594,0.7414965986394558,0
47,0.6000000000000001,0.0,1.0,0.4123711340206186,0.3647959183673469,0.2222222222222222,0.6316666666666668,0.08561643835616438,0.3556701030927835,0.21593830334190234,0.33333333333333337,1
48,0.2,1.0,1.0,0.4845360824742268,0.47959183673469385,0.6666666666666665,0.6283333333333334,0.18835616438356162,0.4690721649484536,0.4473007712082262,0.44217687074829937,1
49,0.6000000000000001,0.0,0.0,0.5463917525773195,0.5153061224489796,0.5555555555555556,0.5566666666666666,0.030821917808219176,0.44329896907216493,0.46786632390745503,0.5578231292517007,1
50,0.2,0.0,1.0,0.9587628865979381,0.47959183673469385,0.7777777777777777,0.6033333333333335,0.00684931506849315,0.5412371134020618,0.9614395886889461,0.7959183673469389,1
51,0.8,1.0,0.0,0.7319587628865979,0.6403061224489796,0.7777777777777777,0.33666666666666667,0.02054794520547945,0.09278350515463918,0.519280205655527,0.7142857142857143,0
52,0.4,1.0,0.0,0.8762886597938143,0.6224489795918366,0.4444444444444445,0.2250000000000001,0.2363013698630137,0.18041237113402062,0.5526992287917738,0.7687074829931974,0
53,1.0,0.0,0.0,0.3711340206185567,0.18622448979591835,0.1111111111111111,0.6483333333333334,0.3013698630136986,0.005154639175257732,0.23136246786632392,0.23129251700680273,1
54,0.2,0.0,1.0,0.845360824742268,0.5790816326530611,0.5555555555555556,0.595,0.5308219178082192,0.7628865979381443,0.8123393316195373,0.5578231292517007,1
55,0.4,1.0,1.0,0.5051546391752577,0.49489795918367346,1.0,0.4833333333333334,0.2568493150684932,0.47938144329896903,0.4910025706940874,0.23129251700680273,1
56,1.0,0.0,0.0,0.6701030927835051,0.6173469387755102,0.5555555555555556,0.8633333333333335,0.04452054794520548,0.28865979381443296,0.41131105398457585,0.4217687074829932,1
57,0.4,0.0,0.0,0.422680412371134,0.2627551020408163,0.8888888888888888,0.21833333333333338,0.07534246575342465,0.07731958762886598,0.23136246786632392,0.35374149659863946,0
58,1.0,1.0,1.0,0.9381443298969071,0.770408163265306,0.8888888888888888,0.9016666666666668,0.6643835616438356,0.5309278350515464,0.8817480719794345,0.5918367346938775,1
59,0.2,1.0,0.0,0.7422680412371133,0.461734693877551,1.0,0.20166666666666666,0.636986301369863,0.4690721649484536,0.442159383033419,0.27891156462585037,0
60,0.8,0.0,1.0,0.5463917525773195,0.45663265306122447,0.7777777777777777,0.8283333333333334,0.0,0.25257731958762886,0.4704370179948586,0.326530612244898,1
61,0.4,0.0,0.0,0.8556701030927835,0.4744897959183673,0.8888888888888888,0.29666666666666675,0.8184931506849316,0.8402061855670103,0.6580976863753214,0.7755102040816327,0
62,0.6000000000000001,0.0,1.0,0.9690721649484535,0.770408163265306,0.8888888888888888,0.615,0.1643835616438356,0.0979381443298969,0.673521850899743,0.6326530612244898,1
63,1.0,0.0,1.0,0.8865979381443299,0.7295918367346939,0.2222222222222222,0.10833333333333339,0.839041095890411,0.44329896907216493,0.6966580976863754,0.3197278911564626,0
64,0.6000000000000001,0.0,1.0,0.3195876288659794,0.18367346938775508,1.0,0.4766666666666667,0.05821917808219178,0.28865979381443296,0.2622107969151671,0.19727891156462588,1
65,0.8,1.0,1.0,0.3814432989690722,0.30612244897959184,0.8888888888888888,0.8066666666666666,0.2636986301369863,0.3556701030927835,0.32904884318766064,0.1904761904761905,1
66,0.2,1.0,0.0,0.4020618556701031,0.25510204081632654,0.5555555555555556,0.10666666666666669,0.3287671232876712,0.31443298969072164,0.37532133676092544,0.1904761904761905,0
67,0.6000000000000001,0.0,0.0,0.8350515463917525,0.7346938775510203,0.4444444444444445,0.6916666666666667,0.2123287671232877,0.61340206185567,0.6118251928020566,0.8095238095238095,1
68,0.0,0.0,1.0,0.2577319587628866,0.24999999999999997,1.0,0.655,0.010273972602739725,0.08762886597938144,0.14395886889460155,0.09523809523809525,0
69,0.8,1.0,0.0,0.556701030927835,0.3086734693877551,0.1111111111111111,0.7950000000000002,0.1917808219178082,0.15979381443298968,0.29562982005141386,0.3741496598639456,1
70,0.0,1.0,0.0,0.17525773195876287,0.11989795918367348,0.5555555555555556,0.020000000000000018,0.1404109589041096,0.14432989690721648,0.11825192802056554,0.163265306122449,0
71,0.8,0.0,1.0,0.03092783505154639,0.030612244897959183,1.0,0.06666666666666665,0.00684931506849315,0.010309278350515464,0.04113110539845759,0.04081632653061225,0
72,1.0,1.0,1.0,0.5257731958762886,0.46683673469387754,0.1111111111111111,0.14333333333333342,0.0958904109589041,0.5,0.2982005141388175,0.28571428571428575,1
73,1.0,0.0,0.0,0.7010309278350515,0.45918367346938777,0.1111111111111111,0.19666666666666666,0.6335616438356164,0.6030927835051546,0.544987146529563,0.5170068027210885,0
74,0.6000000000000001,0.0,1.0,0.5773195876288659,0.41836734693877553,0.7777777777777777,0.7250000000000001,0.136986301369863,0.4845360824742268,0.3161953727506427,0.380952380952381,1
75,0.4,0.0,0.0,0.24742268041237112,0.20663265306122447,0.2222222222222222,0.32333333333333336,0.226027397260274,0.1958762886597938,0.13624678663239076,0.1360544217687075,0
76,0.4,0.0,0.0,0.17525773195876287,0.15816326530612243,0.8888888888888888,0.6183333333333334,0.023972602739726026,0.12886597938144329,0.11568123393316196,0.07482993197278912,1
77,0.8,1.0,0.0,0.5670103092783505,0.36989795918367346,0.7777777777777777,0.6616666666666668,0.4931506849315069,0.4020618556701031,0.32390745501285345,0.4285714285714286,1
78,0.0,1.0,0.0,0.9072164948453607,0.846938775510204,0.3333333333333333,0.8350000000000002,0.4006849315068493,0.4587628865979381,0.9023136246786633,0.7551020408163266,1
79,0.4,0.0,0.0,0.8556701030927835,0.7423469387755102,0.5555555555555556,0.4600000000000001,0.6061643835616438,0.28865979381443296,0.6401028277634963,0.6122448979591837,1
80,0.0,0.0,0.0,0.05154639175257732,0.028061224489795915,0.6666666666666665,0.5650000000000002,0.0684931506849315,0.03608247422680412,0.053984575835475584,0.06122448979591837,1
81,0.8,1.0,0.0,0.3402061855670103,0.21938775510204078,0.1111111111111111,0.28333333333333344,0.04794520547945205,0.1134020618556701,0.30848329048843187,0.1360544217687075,0
82,0.0,0.0,0.0,0.8865979381443299,0.7882653061224489,0.1111111111111111,0.8766666666666667,0.10273972602739725,0.02577319587628866,0.8483290488431877,0.5850340136054423,1
83,0.4,0.0,1.0,0.9999999999999999,0.5331632653061223,0.7777777777777777,0.1050000000000001,0.8767123287671232,0.5876288659793815,0.6760925449871465,0.46258503401360546,0
84,0.6000000000000001,1.0,0.0,0.3505154639175258,0.211734693877551,1.0,0.5216666666666667,0.3253424657534247,0.015463917525773195,0.2570694087403599,0.22448979591836737,1
85,0.6000000000000001,0.0,1.0,0.288659793814433,0.20153061224489793,0.7777777777777777,0.6883333333333335,0.18493150684931509,0.29896907216494845,0.2750642673521851,0.23129251700680273,1
86,0.4,1.0,0.0,0.6804123711340205,0.5331632653061223,0.7777777777777777,0.2316666666666667,0.589041095890411,0.2422680412371134,0.5912596401028278,0.2448979591836735,0
87,1.0,0.0,1.0,0.09278350515463918,0.08928571428571429,0.8888888888888888,0.14500000000000002,0.04794520547945205,0.06185567010309278,0.08997429305912596,0.108843537414966,0
88,0.2,0.0,1.0,0.8762886597938143,0.7142857142857142,0.3333333333333333,0.17000000000000004,0.702054794520548,0.7010309278350515,0.7095115681233933,0.6938775510204083,0
89,0.8,1.0,1.0,0.18556701030927833,0.1964285714285714,0.2222222222222222,0.895,0.1780821917808219,0.13402061855670103,0.09254498714652956,0.19727891156462588,1
90,0.4,0.0,0.0,0.9896907216494845,0.9515306122448979,0.4444444444444445,0.5683333333333334,0.8287671232876712,0.0,0.5938303341902315,0.5170068027210885,1
91,0.8,1.0,0.0,0.5670103092783505,0.5306122448979591,0.8888888888888888,0.31500000000000006,0.02054794520547945,0.22164948453608246,0.31362467866323906,0.40816326530612246,0
92,0.8,1.0,0.0,0.8865979381443299,0.520408163265306,0.8888888888888888,0.4,0.660958904109589,0.16494845360824742,0.5681233933161954,0.8639455782312926,0
93,0.8,1.0,0.0,0.3711340206185567,0.21938775510204078,0.1111111111111111,0.9066666666666667,0.3150684931506849,0.18041237113402062,0.32904884318766064,0.3197278911564626,1
94,0.2,1.0,0.0,0.15463917525773194,0.15561224489795916,0.4444444444444445,0.2533333333333334,0.03424657534246575,0.05670103092783505,0.13624678663239076,0.14285714285714288,0
95,0.4,1.0,0.0,0.08247422680412371,0.0433673469387755,0.4444444444444445,0.10999999999999999,0.04452054794520548,0.020618556701030927,0.07455012853470437,0.08843537414965986,0
96,1.0,1.0,0.0,0.010309278350515462,0.020408163265306124,0.0,0.0,0.00684931506849315,0.02577319587628866,0.010282776349614397,0.0272108843537415,1
97,0.4,1.0,1.0,0.6597938144329897,0.375,0.8888888888888888,0.28333333333333344,0.04452054794520548,0.24742268041237112,0.4601542416452442,0.4761904761904762,0
98,0.4,0.0,0.0,0.8762886597938143,0.6301020408163265,1.0,0.935,0.5068493150684932,0.4381443298969072,0.5886889460154242,0.49659863945578236,1
99,0.8,1.0,0.0,0.9484536082474226,0.7423469387755102,0.5555555555555556,0.43666666666666676,0.8904109589041096,0.7835051546391752,0.9280205655526993,0.4829931972789116,1
100,0.0,1.0,0.0,0.4329896907216495,0.26785714285714285,0.6666666666666665,0.2716666666666667,0.08561643835616438,0.24742268041237112,0.34704370179948585,0.3197278911564626,0
101,0.8,0.0,0.0,0.020618556701030927,0.01530612244897959,0.5555555555555556,0.29666666666666675,0.0273972602739726,0.005154639175257732,0.023136246786632394,0.006802721088435375,0
102,0.4,0.0,1.0,0.010309278350515462,0.020408163265306124,0.0,0.6700000000000002,0.0136986301369863,0.010309278350515464,0.005141388174807198,0.01360544217687075,1
103,0.4,0.0,1.0,0.422680412371134,0.32142857142857145,1.0,0.53,0.3938356164383562,0.18556701030927836,0.2853470437017995,0.163265306122449,1
104,0.8,1.0,0.0,0.14432989690721648,0.10714285714285714,0.5555555555555556,0.5550000000000002,0.0273972602739726,0.08762886597938144,0.09768637532133675,0.1292517006802721,1
105,1.0,0.0,1.0,0.6185567010309277,0.5943877551020408,0.4444444444444445,0.05166666666666675,0.636986301369863,0.5309278350515464,0.6041131105398458,0.5918367346938775,0
106,0.6000000000000001,0.0,1.0,0.4123711340206186,0.23979591836734693,0.7777777777777777,0.9016666666666668,0.2705479452054795,0.015463917525773195,0.42159383033419023,0.34693877551020413,1
107,0.8,0.0,1.0,0.9072164948453607,0.45408163265306123,0.5555555555555556,0.7733333333333334,0.023972602739726026,0.8505154639175257,0.5269922879177379,0.7891156462585035,1
108,0.0,1.0,0.0,0.2577319587628866,0.2627551020408163,0.2222222222222222,0.4850000000000001,0.04794520547945205,0.13917525773195877,0.24678663239074553,0.12244897959183675,1
109,0.2,1.0,1.0,0.979381443298969,0.9081632653061223,0.0,0.6983333333333335,0.6746575342465754,0.3917525773195876,0.5167095115681235,0.7414965986394558,1
110,0.4,1.0,0.0,0.3195876288659794,0.16581632653061223,0.6666666666666665,0.02833333333333332,0.11986301369863013,0.015463917525773195,0.2930591259640103,0.2448979591836735,0
111,0.0,0.0,0.0,0.010309278350515462,0.020408163265306124,0.3333333333333333,0.7966666666666669,0.030821917808219176,0.010309278350515464,0.015424164524421594,0.006802721088435375,1
112,0.6000000000000001,1.0,1.0,0.7422680412371133,0.45663265306122447,0.6666666666666665,0.0033333333333334103,0.1952054794520548,0.15979381443298968,0.4524421593830334,0.34013605442176875,0
113,1.0,0.0,0.0,0.7113402061855669,0.49489795918367346,0.3333333333333333,0.33666666666666667,0.2534246575342466,0.28865979381443296,0.6426735218508998,0.6666666666666667,0
114,1.0,0.0,1.0,0.7319587628865979,0.5561224489795917,0.8888888888888888,0.9650000000000001,0.6712328767123288,0.5463917525773195,0.4884318766066838,0.6666666666666667,1
115,0.2,0.0,0.0,0.845360824742268,0.5892857142857142,0.6666666666666665,0.2283333333333334,0.5308219178082192,0.29896907216494845,0.8508997429305913,0.5510204081632654,0
116,0.0,0.0,1.0,0.3195876288659794,0.26785714285714285,0.5555555555555556,0.8283333333333334,0.023972602739726026,0.30927835051546393,0.19023136246786634,0.22448979591836737,1
117,0.8,0.0,1.0,0.5773195876288659,0.5841836734693877,0.8888888888888888,0.26,0.5547945205479452,0.21649484536082475,0.5732647814910027,0.5102040816326531,0
118,0.0,0.0,0.0,0.04123711340206185,0.033163265306122444,0.2222222222222222,0.5783333333333334,0.0547945205479452,0.03092783505154639,0.030848329048843187,0.04761904761904762,1
119,0.0,0.0,0.0,0.7216494845360825,0.39540816326530615,0.5555555555555556,0.1316666666666667,0.4383561643835617,0.6288659793814433,0.544987146529563,0.2448979591836735,0
120,0.2,0.0,1.0,0.9175257731958762,0.8316326530612244,0.0,0.6950000000000001,0.07876712328767123,0.10309278350515463,0.5989717223650386,0.40136054421768713,1
121,1.0,1.0,0.0,0.07216494845360825,0.0510204081632653,0.7777777777777777,0.40833333333333344,0.00684931506849315,0.010309278350515464,0.06169665809768638,0.054421768707483,0
122,0.4,1.0,0.0,0.061855670103092786,0.07397959183673469,0.3333333333333333,0.02833333333333332,0.0136986301369863,0.05154639175257732,0.043701799485861184,0.06122448979591837,0
123,0.2,0.0,0.0,0.8556701030927835,0.8316326530612244,0.4444444444444445,0.45000000000000007,0.1780821917808219,0.31958762886597936,0.519280205655527,0.3741496598639456,1
124,0.0,0.0,1.0,0.9072164948453607,0.46938775510204084,0.8888888888888888,0.9416666666666667,0.9212328767123288,0.0,0.5295629820051414,0.7687074829931974,1
125,0.6000000000000001,1.0,0.0,0.7010309278350515,0.4897959183673469,0.6666666666666665,0.6983333333333335,0.4212328767123288,0.5309278350515464,0.4601542416452442,0.6938775510204083,1
126,0.6000000000000001,1.0,0.0,0.0,0.007653061224489796,0.7777777777777777,0.8683333333333334,0.017123287671232876,0.005154639175257732,0.005141388174807198,0.006802721088435375,1
127,0.8,0.0,1.0,0.020618556701030927,0.012755102040816325,0.4444444444444445,0.9316666666666669,0.03424657534246575,0.02577319587628866,0.012853470437017997,0.01360544217687075,1
128,0.6000000000000001,0.0,0.0,0.5051546391752577,0.45663265306122447,0.4444444444444445,0.15833333333333333,0.00684931506849315,0.41237113402061853,0.390745501285347,0.4285714285714286,0
129,0.4,0.0,1.0,0.05154639175257732,0.05867346938775509,0.5555555555555556,0.21500000000000008,0.05821917808219178,0.06701030927835051,0.06169665809768638,0.054421768707483,0
130,0.6000000000000001,1.0,0.0,0.020618556701030927,0.022959183673469385,0.5555555555555556,0.935,0.010273972602739725,0.03092783505154639,0.020565552699228794,0.01360544217687075,1
131,0.0,0.0,1.0,0.9587628865979381,0.5229591836734693,0.6666666666666665,0.44166666666666676,0.5205479452054794,0.61340206185567,0.8637532133676094,0.9115646258503403,1
132,1.0,1.0,0.0,0.8865979381443299,0.568877551020408,0.4444444444444445,0.09500000000000008,0.273972602739726,0.44329896907216493,0.4601542416452442,0.33333333333333337,0
133,0.6000000000000001,0.0,1.0,0.16494845360824742,0.08418367346938775,0.8888888888888888,0.275,0.023972602739726026,0.02577319587628866,0.13110539845758357,0.17687074829931973,0
134,0.8,0.0,1.0,0.6804123711340205,0.3469387755102041,0.3333333333333333,0.29833333333333334,0.4041095890410959,0.4690721649484536,0.6529562982005142,0.653061224489796,0
135,0.6000000000000001,0.0,0.0,0.13402061855670103,0.13265306122448978,0.7777777777777777,0.6950000000000001,0.07534246575342465,0.041237113402061855,0.10539845758354756,0.08843537414965986,1
136,0.6000000000000001,1.0,0.0,0.14432989690721648,0.13265306122448978,0.5555555555555556,0.20833333333333337,0.023972602739726026,0.041237113402061855,0.13110539845758357,0.06122448979591837,0
137,0.4,0.0,0.0,0.4536082474226804,0.41836734693877553,0.0,0.81,0.010273972602739725,0.30412371134020616,0.3496143958868895,0.41496598639455784,1
138,1.0,0.0,1.0,0.20618556701030927,0.16326530612244897,0.2222222222222222,0.13666666666666671,0.1541095890410959,0.06701030927835051,0.21336760925449874,0.07482993197278912,0
139,0.6000000000000001,0.0,1.0,0.27835051546391754,0.20918367346938774,0.5555555555555556,0.44000000000000006,0.03767123287671233,0.15979381443298968,0.18508997429305915,0.12244897959183675,1
140,0.0,1.0,0.0,0.0,0.01020408163265306,0.3333333333333333,0.3350000000000001,0.02054794520547945,0.010309278350515464,0.010282776349614397,0.006802721088435375,0
141,0.4,0.0,1.0,0.23711340206185563,0.23214285714285712,0.4444444444444445,0.7116666666666667,0.22945205479452052,0.211340206185567,0.2365038560411311,0.22448979591836737,1
142,0.8,0.0,0.0,0.3505154639175258,0.18367346938775508,0.2222222222222222,0.99,0.0410958904109589,0.33505154639175255,0.18251928020565555,0.1904761904761905,1
143,0.0,1.0,1.0,0.5463917525773195,0.41836734693877553,0.8888888888888888,0.8816666666666668,0.1917808219178082,0.06701030927835051,0.3213367609254499,0.40136054421768713,1
144,0.8,0.0,0.0,0.6597938144329897,0.4362244897959184,1.0,0.3433333333333334,0.09246575342465753,0.5154639175257731,0.6580976863753214,0.489795918367347,0
145,0.4,1.0,1.0,0.8659793814432989,0.8112244897959183,0.2222222222222222,0.8366666666666667,0.3253424657534247,0.8608247422680412,0.622107969151671,0.6666666666666667,1
146,1.0,0.0,0.0,0.04123711340206185,0.030612244897959183,0.6666666666666665,0.405,0.0136986301369863,0.04639175257731959,0.04627249357326478,0.020408163265306124,0
147,0.6000000000000001,1.0,1.0,0.12371134020618556,0.07397959183673469,1.0,0.7866666666666668,0.08561643835616438,0.04639175257731959,0.12339331619537276,0.108843537414966,1
148,0.6000000000000001,1.0,0.0,0.3917525773195876,0.2755102040816327,0.5555555555555556,0.45333333333333337,0.3356164383561644,0.005154639175257732,0.31362467866323906,0.163265306122449,1
149,0.0,0.0,1.0,0.4845360824742268,0.29591836734693877,0.7777777777777777,0.6816666666666666,0.5034246575342466,0.04639175257731959,0.46786632390745503,0.2585034013605442,1
150,1.0,1.0,0.0,0.18556701030927833,0.15051020408163263,0.8888888888888888,0.17000000000000004,0.1404109589041096,0.10824742268041238,0.17737789203084833,0.07482993197278912,0
151,0.2,0.0,1.0,0.5154639175257731,0.4846938775510204,0.3333333333333333,0.30166666666666675,0.4931506849315069,0.4896907216494845,0.4755784061696658,0.28571428571428575,0
152,1.0,1.0,1.0,0.8969072164948453,0.7270408163265305,0.2222222222222222,0.7866666666666668,0.4691780821917808,0.28350515463917525,0.5167095115681235,0.5714285714285715,1
153,0.2,1.0,1.0,0.6494845360824741,0.5178571428571428,0.0,0.010000000000000009,0.547945205479452,0.0979381443298969,0.45758354755784064,0.217687074829932,1
154,0.4,0.0,0.0,0.1134020618556701,0.10714285714285714,0.2222222222222222,0.19166666666666676,0.003424657534246575,0.04639175257731959,0.06683804627249357,0.0816326530612245,0
155,0.6000000000000001,0.0,0.0,0.9484536082474226,0.885204081632653,0.7777777777777777,0.41333333333333344,0.6267123287671232,0.2268041237113402,0.9203084832904885,0.326530612244898,0
156,1.0,0.0,0.0,0.49484536082474223,0.2780612244897959,0.3333333333333333,0.6683333333333334,0.3150684931506849,0.02577319587628866,0.35218508997429304,0.3129251700680272,1
157,0.4,1.0,0.0,0.288659793814433,0.18877551020408162,0.5555555555555556,0.9833333333333334,0.1643835616438356,0.22164948453608246,0.20822622107969152,0.14285714285714288,1
158,1.0,0.0,1.0,0.9999999999999999,0.8418367346938774,0.2222222222222222,0.10666666666666669,0.18493150684931509,0.9639175257731959,0.7069408740359898,0.5646258503401361,0
159,1.0,1.0,1.0,0.05154639175257732,0.025510204081632647,1.0,0.6733333333333333,0.05821917808219178,0.0,0.048843187660668384,0.04081632653061225,1
